id,translatable_id,name,document_url,locale
333,140,2005/513/EC,https://op.europa.eu/en/publication-detail/-/publication/949d51f3-1cd9-413f-8d54-48d31d63b0c9/language-cs,cs
334,140,2005/513/EC,https://op.europa.eu/en/publication-detail/-/publication/949d51f3-1cd9-413f-8d54-48d31d63b0c9/language-en,en
335,141,ECC/DEC/(11)02,https://www.ecodocdb.dk/download/7f7d23a9-2be1/ECCDEC1102.pdf,cs
336,141,ECC/DEC/(11)02,https://www.ecodocdb.dk/download/7f7d23a9-2be1/ECCDEC1102.pdf,en
337,142,ECC/DEC/(09)01,https://www.ecodocdb.dk/download/09d84da1-2776/ECCDEC0901.PDF,cs
338,142,ECC/DEC/(09)01,https://www.ecodocdb.dk/download/09d84da1-2776/ECCDEC0901.PDF,en
339,143,ECC/DEC/(05)02,https://www.ecodocdb.dk/download/8d86dfbe-6300/ECCDEC0502.PDF,cs
340,143,ECC/DEC/(05)02,https://www.ecodocdb.dk/download/8d86dfbe-6300/ECCDEC0502.PDF,en
341,144,(EU)2017/2077,https://eur-lex.europa.eu/legal-content/CS/TXT/PDF/?uri=CELEX:32017D2077&from=EN,cs
342,144,(EU)2017/2077,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32017D2077&from=EN,en
343,145,CEPT/ECC/DEC/(04)10,https://www.ecodocdb.dk/download/fad2673d-260c/ECCDec0410.pdf,cs
344,145,CEPT/ECC/DEC/(04)10,https://www.ecodocdb.dk/download/fad2673d-260c/ECCDec0410.pdf,en
345,146,ECC/DEC/(04)03,https://www.ecodocdb.dk/download/fad2673d-260c/ECCDec0410.pdf,cs
346,146,ECC/DEC/(04)03,https://www.ecodocdb.dk/download/fad2673d-260c/ECCDec0410.pdf,en
