id,code,sorting,created_at,updated_at
91,C/C,,"2015-07-25 20:07:45","2015-07-26 13:51:10"
92,CB,,"2015-07-25 20:07:45","2015-07-26 13:51:19"
93,CBISS,,"2015-07-25 20:07:45","2015-07-26 13:51:29"
94,CCIR,,"2015-07-25 20:07:45","2016-06-03 09:08:19"
95,CCITT,,"2015-07-25 20:07:45","2016-06-03 09:10:32"
96,CDMA,,"2015-07-25 20:07:45","2015-07-26 13:48:55"
97,CEPT,,"2015-07-25 20:07:45","2015-07-26 13:54:34"
98,CERP,,"2015-07-25 20:07:45","2015-07-26 13:54:45"
99,"CGC, CGCs",,"2015-07-25 20:07:45","2015-07-26 13:54:56"
100,CHB,,"2015-07-25 20:07:45","2015-08-06 22:25:29"
101,CHS,,"2015-07-25 20:07:45","2015-08-06 22:25:54"
102,CIRAF,,"2015-07-25 20:07:45","2015-07-26 13:55:41"
103,CIRM,,"2015-07-25 20:07:45","2015-07-26 13:56:02"
104,CISPR,,"2015-07-25 20:07:45","2015-07-26 13:57:14"
105,CITEL,,"2015-07-25 20:07:45","2015-07-26 13:57:27"
106,CNS/ATM,,"2015-07-25 20:07:45","2015-07-26 13:57:39"
107,COCOM,,"2015-07-25 20:07:45","2015-08-06 22:26:22"
108,"Cognitive radio",,"2015-07-25 20:07:45","2015-08-06 14:16:27"
109,COSPAS,,"2015-07-25 20:07:45","2015-08-06 14:16:23"
110,CPC,,"2015-07-25 20:07:45","2015-07-26 13:58:16"
111,CPG,,"2015-07-25 20:07:45","2015-07-26 14:00:33"
112,CPM,,"2015-07-25 20:07:45","2015-07-26 14:02:43"
113,CRS,,"2015-07-25 20:07:45","2015-08-06 22:26:39"
114,CS,,"2015-07-25 20:07:45","2015-08-06 22:27:22"
115,CSTDMA,,"2015-07-25 20:07:45","2015-08-06 22:27:39"
116,CT,,"2015-07-25 20:07:45","2015-07-26 14:00:05"
117,CV,,"2015-07-25 20:07:45","2015-07-26 14:00:23"
118,CW,,"2015-07-25 20:07:45","2015-07-26 13:59:49"
119,D-GPS,,"2015-07-25 20:07:45","2015-07-26 14:01:52"
120,D/A,,"2015-07-25 20:07:45","2015-07-26 14:03:54"
121,DAA,,"2015-07-25 20:07:45","2015-07-26 14:06:11"
122,DAB,,"2015-07-25 20:07:45","2015-07-26 14:06:24"
123,DAB-IP,,"2015-07-25 20:07:45","2015-07-26 14:06:37"
124,DA2GC,,"2015-07-25 20:07:45","2015-07-26 14:05:55"
125,DB,,"2015-07-25 20:07:45","2015-07-26 14:01:04"
126,DCS,,"2015-07-25 20:07:45","2015-07-26 13:59:18"
127,DEC,,"2015-07-25 20:07:45","2015-07-26 14:00:13"
128,DECT,,"2015-07-25 20:07:45","2015-08-06 22:27:53"
129,DFS,,"2015-07-25 20:07:45","2015-07-26 13:59:08"
130,DGNSS,,"2015-07-25 20:07:45","2015-08-06 22:28:08"
131,DL,,"2015-07-25 20:07:45","2015-07-26 13:59:42"
132,DLR,,"2015-07-25 20:07:45","2015-07-26 13:59:29"
133,DLS,,"2015-07-25 20:07:45","2015-08-06 22:28:21"
134,DMB,,"2015-07-25 20:07:45","2015-07-26 14:02:32"
135,DME,,"2015-07-25 20:07:45","2015-07-26 14:03:32"
136,DMO,,"2015-07-25 20:07:45","2015-07-26 14:06:51"
137,Downlink,,"2015-07-25 20:07:45","2015-08-06 14:16:12"
138,DRM,,"2015-07-25 20:07:45","2015-07-26 14:07:04"
140,DSC,,"2015-07-25 20:07:45","2015-08-06 22:28:38"
141,DS-CDMA,,"2015-07-25 20:07:45","2015-07-26 14:01:31"
142,DSI,,"2015-07-25 20:07:45","2015-08-06 22:28:52"
143,DSL,,"2015-07-25 20:07:45","2015-07-26 14:02:23"
144,DSO,,"2015-07-25 20:07:45","2015-07-26 14:01:19"
145,DSR,,"2015-07-25 20:07:45","2015-07-26 14:02:53"
146,DSRC,,"2015-07-25 20:07:45","2015-07-26 13:58:26"
147,DSSS,,"2015-07-25 20:07:45","2015-07-25 23:58:16"
148,DTE,,"2015-07-25 20:07:45","2015-08-06 22:26:48"
149,DTH,,"2015-07-25 20:07:45","2015-07-26 13:27:27"
150,DTT,,"2015-07-25 20:07:45","2015-07-26 13:26:59"
151,DV,,"2015-07-25 20:07:45","2015-08-23 21:01:54"
152,DVB-H,,"2015-07-25 20:07:45","2015-08-14 20:16:06"
153,DVB-SH,,"2015-07-25 20:07:45","2015-07-26 13:29:43"
154,DVB-T,,"2015-07-25 20:07:45","2015-08-14 20:16:27"
155,EACP,,"2015-07-25 20:07:45","2015-07-26 13:31:13"
156,EAS,,"2015-07-25 20:07:45","2015-07-26 13:31:25"
157,EBU,,"2015-07-25 20:07:45","2015-07-26 13:30:07"
158,EC,,"2015-07-25 20:07:45","2015-07-26 14:07:23"
159,ECA,,"2015-07-25 20:07:45","2016-06-03 09:32:45"
160,ECC,,"2015-07-25 20:07:45","2015-07-26 13:33:15"
161,ECP,,"2015-07-25 20:07:45","2015-07-26 13:33:40"
162,ECS,,"2015-07-25 20:07:45","2015-07-26 13:31:39"
163,ECTRA,,"2015-07-25 20:07:45","2015-07-26 13:33:53"
164,EES,,"2015-07-25 20:07:45","2015-07-26 13:33:24"
165,EESS,,"2015-07-25 20:07:45","2015-07-26 13:34:27"
166,EFIS,,"2015-07-25 20:07:45","2015-08-07 14:30:35"
167,EFP,,"2015-07-25 20:07:45","2015-07-26 13:35:24"
168,EFTA,,"2015-07-25 20:07:45","2015-07-26 13:35:15"
169,EGNOS,,"2015-07-25 20:07:45","2015-07-26 13:35:55"
170,E-GSM,,"2015-07-25 20:07:45","2015-07-26 13:30:32"
171,EHF,,"2015-07-25 20:07:45","2015-08-14 20:17:07"
172,EHRI,,"2015-07-25 20:07:45","2015-07-26 13:34:46"
173,EIRP,,"2015-07-25 20:07:45","2015-08-14 20:17:49"
174,EKV,,"2015-07-25 20:07:45","2015-08-23 20:58:16"
175,ELBA,,"2015-07-25 20:07:45","2015-07-26 13:34:06"
176,ELT,,"2015-07-25 20:07:45","2015-08-14 20:18:20"
177,EMC,,"2015-07-25 20:07:45","2015-07-26 13:35:33"
178,EMI,,"2015-07-25 20:07:45","2015-07-26 13:35:43"
179,ENG/OB,,"2015-07-25 20:07:45","2015-07-26 14:09:05"
180,ENVISAT,,"2015-07-25 20:07:45","2015-07-26 13:34:18"
181,EOS,,"2015-07-25 20:07:45","2015-07-26 14:08:53"
182,EPFD,,"2015-07-25 20:07:45","2015-08-14 20:19:17"
183,EPG,,"2015-07-25 20:07:45","2015-07-26 14:09:49"
184,EPIRB,,"2015-07-25 20:07:45","2015-07-26 14:09:59"
185,ERC,,"2015-07-25 20:07:45","2015-07-26 14:10:12"
186,ERP,,"2015-07-25 20:07:45","2015-08-14 20:19:34"
187,ERMES,,"2015-07-25 20:07:45","2015-07-26 14:13:40"
188,ERO,,"2015-07-25 20:07:45","2015-07-26 14:14:01"
189,E/s,,"2015-07-25 20:07:45","2015-07-26 13:31:04"
190,ESA,,"2015-07-25 20:07:45","2015-07-26 14:10:34"
191,ESV,,"2015-07-25 20:07:45","2015-07-26 14:10:25"
192,ETO,,"2015-07-25 20:07:45","2015-07-26 13:36:09"
193,ETSI,,"2015-07-25 20:07:45","2015-07-26 14:09:41"
194,EU,,"2015-07-25 20:07:45","2015-08-06 22:29:33"
195,EUMETNET,,"2015-07-25 20:07:45","2015-08-06 14:15:40"
196,EUMETSAT,,"2015-07-25 20:07:45","2015-07-25 23:49:49"
197,EUROCAE,,"2015-07-25 20:07:45","2015-07-25 23:50:00"
198,EUTELSAT,,"2015-07-25 20:07:45","2015-07-25 23:50:48"
199,EVA,,"2015-07-25 20:07:45","2015-07-25 23:50:58"
200,"ex ante",,"2015-07-25 20:07:45","2015-08-06 14:15:35"
201,"ex post",,"2015-07-25 20:07:45","2015-08-06 14:15:28"
202,F1B,,"2015-07-25 20:07:45","2015-08-06 14:15:23"
