id,translatable_id,name,document_url,locale
44,14,"VO-R/10 Art. 7",https://www.ctu.eu/sites/default/files/obsah/ctu/general-authorisation-no.vo-r/10/12.2017-10/obrazky/general-authorisation-no-vo-r10122017-10enfin.pdf#page=9,en
45,15,"VO-R/10 Art. 8",https://www.ctu.eu/sites/default/files/obsah/ctu/general-authorisation-no.vo-r/10/12.2017-10/obrazky/general-authorisation-no-vo-r10122017-10enfin.pdf#page=9,en
46,17,VO-R/12,https://www.ctu.eu/sites/default/files/obsah/vo-r_12_09-2010-12_en.pdf,en
47,18,VO-R/14,https://www.ctu.eu/sites/default/files/obsah/vo-r_14_12-2012-17_en.pdf,en
48,19,VO-R/15,https://www.ctu.eu/sites/default/files/obsah/vor-15-08-2005-27-an.pdf,en
49,20,VO-R/16,https://www.ctu.eu/sites/default/files/obsah/vor-16-08-2005-28-an.pdf,en
50,21,VO-R/17,https://www.ctu.eu/sites/default/files/obsah/vor-17-08-2005-29-an.pdf,en
51,23,VO-R/2,https://www.ctu.eu/sites/default/files/obsah/ctu/general-authorisation-no.vo-r/2/05.2018-5/obrazky/vo-r-02-05-2018-5enfin.pdf,en
52,24,VO-R/23,https://www.ctu.eu/sites/default/files/obsah/ctu/general-authorisation-no.vo-r/23/08.2017-6/obrazky/generalauthorisationno.vo-r23082017-6en.pdf,en
53,25,VO-R/3,https://www.ctu.eu/sites/default/files/obsah/ctu/general-authorisation-no.vo-r/3/6.2016-9/obrazky/generalauthorisationno.vo-r-3-6.2016-9.pdf,en
54,27,VO-R/7,https://www.ctu.eu/sites/default/files/obsah/ctu/general-authorisation-no.vo-r/7/11.2016-12/obrazky/vo-r7112016-12.pdf,en
55,28,VO-R/8,https://www.ctu.eu/sites/default/files/obsah/vor-08-08-2005-23-an.pdf,en
56,29,"VO-R/10 Art. 9",https://www.ctu.eu/sites/default/files/obsah/ctu/general-authorisation-no.vo-r/10/12.2017-10/obrazky/general-authorisation-no-vo-r10122017-10enfin.pdf#page=11,en
57,30,VO-R/25,https://www.ctu.cz/sites/default/files/obsah/ctu/vseobecne-opravneni-c.vo-r/25/11.2017-8/obrazky/vo-r25-112017-8.pdf,cs
58,30,VO-R/25,https://www.ctu.eu/sites/default/files/obsah/ctu/general-authorisation-no.vo-r/25/11.2017-8/obrazky/generalauthorisationno.vo-r25112017-08en.pdf,en
59,31,VO-R/24,https://www.ctu.cz/sites/default/files/obsah/ctu/vseobecne-opravneni-c.vo-r/24/05.2019-4/obrazky/vo-r24-052019-4.pdf,cs
60,31,VO-R/24,https://www.ctu.eu/sites/default/files/obsah/vor-24-11-2008-16-an.pdf,en
